"address","categories/0","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Sebaiknya buat reservasi","reviewContext/Waktu antrean","reviewContext/Waktu kunjungan","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewImageUrls/48","reviewImageUrls/49","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","false","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku",,"false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"16 jam lalu","2025-04-01T09:15:23.784Z",,,,,,"Akhir pekan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"5",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false",,,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","false","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku",,"false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"2 hari lalu","2025-03-30T08:50:56.346Z",,,,,,"Akhir pekan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"0",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false",,,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku","en","false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"3 hari lalu","2025-03-29T23:45:54.239Z",,,,"Tidak","Tanpa mengantre","Akhir pekan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"57",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false","Very interesting river and boating destination","Sungai dan tujuan berperahu yang sangat menarik","Sungai Maron Pacitan","4.7","id","https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku","id","false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"3 hari lalu","2025-03-29T12:07:10.149Z",,,,"Tidak","Tanpa mengantre","Hari biasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"138",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false","Keren..",,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","false","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku",,"false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"6 hari lalu","2025-03-26T21:10:45.565Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"0",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","3","Jawa Timur",,"false",,,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku","id","false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"2 minggu lalu","2025-03-15T13:50:30.305Z",,,,"Tidak","Tanpa mengantre","Akhir pekan",,"https://lh3.googleusercontent.com/geougc-cs/AIHozJJ-vSO-apjEv00MxHApVSz5C4hUheWsGTgIKIAqua3UOcVay-IZX8-6PTBm2p_ifpVNuPDgfWIAo-yFxa82d2eyfIK549owmE9mlWAPfkhps5_AKjYX6bbdunUL5a3cFif3VXR3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"131",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false","Pemandangannya indah. Saat datang tidak ramai karena saat puasa.
Jadi bisa puas menikmati pemandangan",,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","false","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku","id","false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"2 minggu lalu","2025-03-14T16:32:23.311Z",,,,"Tidak","Tanpa mengantre","Akhir pekan",,"https://lh3.googleusercontent.com/geougc-cs/AIHozJLtHA-cZRlNhaB3BTIWaLT93ijHLGaNhltvxkPYJVklhWr-jPg8vLIvucFJg6n2n451POUsPcl-fQwbI37ZTEPYVl1JGXPeb_kl7NXI8aRBmqwPnWhlvBZgAc1yLcZHwWTO6Gv8pw","https://lh3.googleusercontent.com/geougc-cs/AIHozJIasm83ii-2JnUuERb9BoPWTpS2h3tczwvjy279L8BUvhZydpZoGQtq10cdU-P5YVG9uOXb0bGD6_WStT2mUhlxntjVQr-ruc8tQDzcIrG0TVrfV4umPmrRMcWoXg1sVGt4U7Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"1",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false","Wisata yg murah,tiket masuk 5k,tiket 1 prahu 100k untuk 4 orang.",,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku",,"false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"2 minggu lalu","2025-03-14T10:54:02.191Z",,,,,"Tanpa mengantre","Hari biasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"1",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","4","Jawa Timur",,"false",,,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","false","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku","id","false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"2 minggu lalu","2025-03-13T13:31:17.638Z",,,,"Tidak","Tanpa mengantre","Akhir pekan",,"https://lh3.googleusercontent.com/geougc-cs/AIHozJJd3rYFt-cJBgMbW_2ZJlLAngrr8Vm50JUQlaO9MrQS2yiHl5WxR2qtBq8VfN2_5ijt3ylO8nUtBukb_VLhY6sUBwcQ9lqeqH75zKKg9Zq6cjniqOzdtfzqYN7aHhzV2Aqhg3Zu","https://lh3.googleusercontent.com/geougc-cs/AIHozJLlUpS8kkG38gfnfEY-JJ70BlmJWECGO_WVfvONF668Cu8sYEertt95OjyBjKvonV7Y0j5iB7GqOVBYzHeA1j6DjrdnS5wqre_eCy5xbtdvcBG4efgB_lJORm8TvC0ugrmr9ta_sw","https://lh3.googleusercontent.com/geougc-cs/AIHozJJvRJQRv0ct12_cGxEm76uU6uqxkAi02Dbokqbl3iP1aoue78hMNoml3aNqXDXejKt5R_ktS1a619mabbBhn2GR3lkSJ57HzoQS6eE1Wcqz_wtQ4k5dNzPiS591TWM6S7CA_3um",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"6",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false","Untuk rute yang dipilihkan dari google maps adalah jalir cepatnya. Tapi cukup sempit. Tapi setelah sampai di sana terbayarkan. Orang2nya ramah dan pemandangannya cukup bagus.
Kemarin waktu di area pintu masuk diberi tiket untuk 2 orang hanya 10rb sudah termasuk parkir.
Dan untuk naik perahu menyusuri sungai di kenakan harga 50rb/orang. Menurutku sih wortb it yah, karena untuk akomodasi kapalnya dan supirnya.
Cuma kesana pas siang jam 12 jadi serasa panas sekali, karena sungainya memang menyambung dengan pantai. Dan cukup jernih juga.",,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku","id","false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"2 minggu lalu","2025-03-13T03:43:25.196Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"39",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false","Blm pernah kesana 🤣",,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku","id","false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"3 minggu lalu","2025-03-10T12:51:05.257Z",,,,"Tidak","Tanpa mengantre","Hari biasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"49",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","3","Jawa Timur",,"false","Ke sana saat musim hujan jadi warna air nya coklat,",,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku",,"false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"3 minggu lalu","2025-03-06T12:11:29.314Z",,,,"Ya","Maks 10 mnt","Hari biasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"17",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false",,,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku",,"false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"3 minggu lalu","2025-03-05T20:21:29.634Z",,,,,,,,"https://lh3.googleusercontent.com/geougc-cs/AIHozJJEvWExON3LymmI4bfkStEsRs028sYk-aq4NYMySPcirolMLlsaGYUMZ_eOflhANmD1iNCTgZFVBRiPjxj0uuW9uUbuHpXM5wF0e7ATZLU1Qr2UJzjbSi1ohWhg8MNT0MVPFmtT","https://lh3.googleusercontent.com/geougc-cs/AIHozJKyrnY9JQ08cj9YzhX7-KM7KLVD9SfjNoFT-UYCouDwjnWbHvI_Au7nhDLEHF9qyao8KP5RF5oBs2l6iugG3VJrd8HJLbATfmg6hrjIhTL4DQVWpKc3SRIxAtrTQLJQoyCxplDJ","https://lh3.googleusercontent.com/geougc-cs/AIHozJJFpdD-YqRR-PthAXNVkuA5tmiiILznwczKTfVvmRRWYVYbUaSSwNoH97W6R4ZW9fjUJYDsWeLl3HfoGkghs4K_YStvFPyevnH5BU1HlFCh7yjxCpWjj3eYh2QrnibCLJg3_DYC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"9",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false",,,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
"Maron, Dersono, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Tujuan Wisata","Tujuan Wisata","4060743041843258778","Kabupaten Pacitan","ID","0x2e7bdc5940de0881:0x385aa8482534e59a","https://lh3.googleusercontent.com/p/AF1QipMNuPRl3Yiq7QhQIJCyERjVOIzFTXzxm5P_ScFH=w408-h306-k-no","false","true","id","0","-8.2045083","110.9552183",,"Maron, Dersono, Kecamatan Pringkuku","id","false","ChIJgQjeQFncey4RmuU0JUioWjg","63552",,"4 minggu lalu","2025-03-05T01:09:44.891Z",,,,"Tidak","10-30 mnt","Hari libur nasional",,"https://lh3.googleusercontent.com/geougc-cs/AIHozJJLd9j2cJrNshb4rEClX2LJ6jrl-95vpkVGoMSRXBLRImdNky5ChCQm9bEUz4MxnT7raUtiZtP3deZBk4faUPH67NnnTaRNQgOnY6iSW7cRYqiML96gRgj_gcSMWLbkAzvOgJmT1w","https://lh3.googleusercontent.com/geougc-cs/AIHozJIwBbb5RbSHuhxawTpnJXUXvUBZbKJPyzxcQxfx5e3draapEJHoTNuwrYsZrDeThijORajbjJ1Z1ry5qiALhYLR_3lNb5SFzey9-xKmQzlt8gMK8sGHoFHXnGuIu83YSnaUdsxK","https://lh3.googleusercontent.com/geougc-cs/AIHozJJVUxH99t6SACd9xfhefizbasEcIqCFyPMaOXKXQsioS36Z0V8bPOVoXQO6fZ68D-eSBWnTEoigmBT-QUlwnAdRosXITQ3CJbTNa9_yoscDbt1ExAvzGQqEHg6DxQC8DISNqHtZXw","https://lh3.googleusercontent.com/geougc-cs/AIHozJLnW7iczMleZo5L14BP6-hEpotiV4UjoOh8m2iGXeJXDcbtSju8EVg79M5Bcoa30o2V0HM5yjaP3j91cH8n-pe55NxD3Mc6det0LoHeRf-lj3eJUQGQd1OFTlohLR2SY36HQzqt","https://lh3.googleusercontent.com/geougc-cs/AIHozJIPsLDiUhS1WVu2t5CD_s1k9ePYuONWSgXNCaii_pq2ob5ulVGzZuS2BZ3y06ihKPYqu735Zk01TxUufxgY9pQ-a0vHHBiuvg36sAgXIaRGA-gSIvQOX_s344aGxq9eFMITDxWo","https://lh3.googleusercontent.com/geougc-cs/AIHozJLd5MKSN2GAJ2LukkYDEiuhRpqLbJ1jmAQjNRZZBPeLOInO_Z6BxmFe51_Joi5suuA25sTIZgcDmWtDC14OM_9Pj3lh3vABsBmefVEhM88IT0nPEasVqV9Srjf2b1Byk60FGe-Q","https://lh3.googleusercontent.com/geougc-cs/AIHozJIdfr-7FUGaApTEmj-Lj_1Lveo_uMqKGTwBOoaNrye886kTLd1jlVg4O_lWPJSvAV7ps2pqS8X3XPxLvNvpmGZT6wa7HBnFLHla5fItCWR23oVOuWwdB7RHSxZYrmGODqXGdjQ9JQ","https://lh3.googleusercontent.com/geougc-cs/AIHozJIuvXguz8LtbviGHbPYe4-j1Tde8luIgHXeZQEhNSR1rxhZMJwAC3H5t3DBID-MXkw6DM9i1pvrX5nK8RCSFpnBWALgv04g574Di1NxEA6FJ3JHN0NJtr5wmrXr1bffk05QRC1i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"1381",,,"3741","2025-04-02T02:10:04.574Z","Direct Detail URL: https://www.google.com/maps/place/Sungai+Maron+Pacitan/@-8.204503,110.9526434,17z/data=!4m8!3m7!1s0x2e7bdc5940de0881:0x385aa8482534e59a!8m2!3d-8.2045083!4d110.9552183!9m1!1b1!16s%2Fg%2F11f06mb36n?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","5","Jawa Timur",,"false","Destinasi wisata di Pacitan yang menyuguhkan susur sungai sebagai sajian utamanya. Tersedia perahu yang bisa digunakan. Setiap perahu diisi maksimal empat orang. Wisatawan akan diajak menyusuri sungai maron dengan durasi waktu kurang lebih satu jam. Sungainya cukup lebar, dengan ombak yang tenang. Bila musim kemarau sungainya berwarna kebiruan. Oh ya, pemandangan ditepian sungai sungguh ciamik. Aneka vegetasi tumbuh subur. Selain sebagai penangkal abrasi, hadirnya vegetasi ini menambah kesejukan ketika menyusuri sungai.",,"Sungai Maron Pacitan","4.7",,"https://www.google.com/maps/search/?api=1&query=Sungai%20Maron%20Pacitan&query_place_id=ChIJgQjeQFncey4RmuU0JUioWjg",
